restaurant,cuisine_type,location,price_level,rating,review_count
Ximending Taiwan Style Restaurant,"Chinese,Asian,Fusion","Ximending Taiwan Style Restaurant 79 & 81 Lebuh Bishop, Penang Island 10200 Malaysia",2,4,13
Cloud Dreaming,Fusion,"15, Lebuh Tye Sin, George Town, Penang Island 10300 Malaysia",1,4,11
Big Ben George Town,"Cafe,British","83 Bishop Street, George Town, Penang Island 10200 Malaysia",1,4.5,9
Krung Thep,Thai,"No. 118 Lorong Selamat, George Town, Penang Island 10450 Malaysia",,4.5,6
Tong Seng Hainanese Chicken Rice,Chinese,"406 Jalan Penang, George Town, Penang Island Malaysia",2,4,11
Rustic Woods,"Italian,American,Bar","89, Muntri Street., Penang Island 10200 Malaysia",1,4.5,7
Palace D' India,"Indian,Seafood,International","69G, King Street Esplanade, George Town, Penang Island 10200 Malaysia",3,4.5,5
Seng Seng Heang,"Malaysian,Asian","613-D Jalan Pasar, Air Itam, Penang Island Malaysia",,5,5
Ming Xiang Tai,Chinese,"No. 26, Lebuh Armenian, Penang Island Malaysia",2,4,10
Sany Char Kuey Teow,"Malaysian,Asian","4 Lorong Mahsuri 2 Near Sunrise Shopping Centre, Bayan Lepas, Penang Island 11900 Malaysia",,4,8
Over the Rainbow,"Contemporary,Cafe","2-G-22, Medan Rajawali Solaria Residences, Bayan Lepas, Penang Island Malaysia",,5,4
Matcho Cafe,"Fast food,Asian,Deli","99B, Lebuh Noordin, Penang Island 10300 Malaysia",1,5,4
Copthorne Terrace Bay Restaurant,European,"Tanjung Bungah, Penang Island Malaysia",2,3.5,32
Tavern in the Park,Cafe,"125 Jalan Timah Inside Hin Bus Depot Art Centre, George Town, Penang Island 10150 Malaysia",2,3.5,19
Corner Keng,"Chinese,Bar,Cafe","10-B-02 Precinct 10, Jalan Tanjung Tokong,, Tanjung Tokong, Penang Island 10470 Malaysia",2,4,15
"Friendscino Pulau Tikus, Penang","European,Wine Bar","Friendscino Pulau Tikus, Penang 19 Lintang Burma Pulau Tikus, Penang Island 10250 Malaysia",2,4.5,7
Pak Mat Western,"Steakhouse,Cafe,Asian","Simpang Tiga Juru, Simpang Ampat, Penang Island 14000 Malaysia",1,4,12
Test Kitchen,"Asian,Contemporary,Malaysian","105 Lebuh Noordin, George Town, Penang Island 10300 Malaysia",2,5,5
Home Cafe Penang,Cafe,"Home Cafe Penang 18 Jalan Pakawali, Tanjung Bungah, Penang Island 11200 Malaysia",,5,3
Oriental Red Seafood Market,Seafood,"Jalan Perusahaan Jelutong 2 No 28, Fortune Park, Jelutong, Penang Island 11600 Malaysia",,4.5,7
Rockstarz Burger Ayer Itam/Greenlane,Seafood,,,,0
Snow Story,Japanese,"18 Lebuh Keng Kwee, George Town, Penang Island 10100 Malaysia",1,4.5,6
Teow Chew Meng,"Asian,Chinese","Lorong Selamat, George Town, Penang Island Malaysia",,4,13
Eam Huat Charcoal Steamboat,Asian,"7, Medan Penaga, Batu Lanchang, Penang Island Malaysia",,4.5,7
Annapoorni Restaurant,Indian,"38 Lebuh China, George Town, Penang Island 10200 Malaysia",1,4.5,8
Teszta Resto,"Pizza,Seafood,International,Italian","2-G-13A, Solaria Square, Bayan Lepas, Penang Island 11900 Malaysia",,4,7
Island Park Restaurant,Chinese,"No. 38, Tkt Tembaga, George Town, Penang Island 11600 Malaysia",,4,8
Shin Boon Kee Chicken and Duck Rice,Chinese,"425C Jalan Burma, George Town, Penang Island Malaysia",,4.5,5
Dim Sum King Penang,"Chinese,American,Indian","35, Jalan Anson,, Penang Island 10400 Malaysia",1,5,4
Chill Bar & Refuge,American,"55 Jalan Nagore, George Town, Penang Island 10050 Malaysia",3,5,6
Shariff Nasi Kandar,,"159, Jalan Permai, Taman Brown, George Town, Penang Island 11700 Malaysia",1,4.5,7
J-Garden,Japanese,"368-1-1 Bellisa Row, Jalan Burmah, Pulau Tikus, Pulau Pinang. Bellisa Row, Penang Island 10350 Malaysia",2,4,8
The Memory Lane Mufe,Chinese,"32, Jalan Servis, George Town, Penang Island 10050 Malaysia",2,4.5,8
Ssambap Korean,"Korean,Asian","Jalan Tun Dr Awang 1-1-24, Krystal Point Corporate Park, Penang Island 11900 Malaysia",,4,10
"Sri Ananda Bahwan, Macalister Road","Indian,Asian,Malaysian","225 Macalister, George Town, Penang Island 10450 Malaysia",2,3.5,85
Four Seasons Tea Restaurant,"Chinese,Asian,Thai","80-U Jalan Trengganu, George Town, Penang Island 10460 Malaysia",1,3.5,16
Khoon Hiang,"Malaysian,Asian","358 Jalan Dato Keramat,, Penang Island Malaysia",,4.5,8
Chili's Grill & Bar,"Mexican,American,Southwestern","Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,3,115
Adam's Famous Chicken Curry Puff,,,2,,0
Pen & Nic's Kitchen,"European,Asian,Fusion","29 & 31,One City Jalan Perniagaan Seri Juru,Pusat Perniagaan Seri Juru, Simpang Ampat, Penang Island 14100 Malaysia",2,5,3
Harvest Wok,Chinese,"48 Lengkok Moulmein, George Town, Penang Island 10350 Malaysia",,4,10
Five Stars Restaurant,Chinese,"19C Lebuhraya Batu Lanchang, George Town, Penang Island 11600 Malaysia",2,4.5,7
The Glasshouse,"Italian,Chinese,Cafe","8, Gat Lebuh Gereja The Prestige Hotel, George Town, Penang Island Malaysia",2,4,9
Winter Warmers,"Chinese,Asian,Fusion","Queensbay 11900 Bayan Lepas Queensbay Mall, Bayan Lepas, Penang Island Malaysia",2,4,12
Kitano @ Jazz Japanese Restaurant,Japanese,"No. 1, Jalan Seri Tanjung Pinang 1, Penang Island 10470 Malaysia",,5,4
Japanese Restaurant Iso Gin,Japanese,"B-1-6, Vantage Desiran Tanjung, Jalan Desiran Tanjung, Tanjung Tokong, Penang Island 10470 Malaysia",,4.5,9
Kafe Heng Huat,"Asian,Malaysian","108 Lorong Selamat, George Town, Penang Island Malaysia",1,3.5,106
Nasi Kandar Kampung Melayu,"Asian,Malaysian","Jalan Kampung Melayu A-29, Air Itam, Penang Island Malaysia",1,4,6
Hug Chinese Restaurant,Chinese,"No 1-2-13 & 15, Elit Avenue Jalan Mayang Pasir, Bayan Lepas, Penang Island 11950 Malaysia",3,4.5,8
Kim Laksa,,"67 Balik Pulau Penang, Balik Pulau, Penang Island 11000 Malaysia",1,4,9
Fook Cheow Cafe,"Asian,Malaysian","Hutton lane, Penang Island Malaysia",1,4,11
Mikki Western Food / Mikki Western Junction,,,1,,0
Vege Delight,,"72-1-1, Arena Curve, Jalan Mahsuri, Bayan Baru, Bayan Lepas, Penang Island 11950 Malaysia",2,4.5,5
The Six Premium Cantonese,,"Jalan Dato Keramat Penang Times Square, George Town, Penang Island 10150 Malaysia",3,4,11
Muthu Banana Leaf Restaurant,Indian,"143 Lebuh Acheh, George Town, Penang Island 10300 Malaysia",1,3.5,8
Jeeves,,,1,,0
Elite House,"Chinese,Seafood,Asian","8 Jalan Perusahaan Jelutong 2 Fortune Park, George Town, Penang Island 11600 Malaysia",2,3.5,18
Sin Nam Huat,"Cantonese,Chinese","70 Beach Street Lebuh Pantai, George Town, Penang Island Malaysia",,4.5,7
Dessert Old Time Delight Shop,"Chinese,Asian","78 Lebuh Kimberley Near Penang Upside Down Museum, George Town, Penang Island 10100 Malaysia",1,4,12
Mizi Bistro Bayan Lepas,,,1,,0
Mellowcup Coffee,"Chinese,Asian,Soups","11-G-4, New Jalan Gottlieb New Bob Center, George Town, Penang Island 10350 Malaysia",2,4.5,6
The 9ine by Jackie Wong,"Cafe,European,Asian","9, Jalan Kek Chuan, George Town, Penang Island 10400 Malaysia",2,4,7
Wako Sushi Omakase ?????????,"Japanese,Sushi,Kaiseki","16,gat Lebuh Acheh, George Town, Penang Island 10300 Malaysia",3,5,3
Penang Road Famous Laksa,,,3,,0
Kum Kei,Chinese,"76G Persiaran Mahsuri 2, Bayan Lepas, Penang Island 11950 Malaysia",,4,8
Ah Shen Presgrave St Famous Duck Egg Char Koay Teow,"Chinese,Asian,Indonesian","St cor, Presgrave, Lebuh Mcnair Between Coffee House, George Town, Penang Island 10300 Malaysia",1,5,4
Kedai Makanan Seong Huat,Chinese,"Jalan Larut, George Town, Penang Island Malaysia",1,4,12
Jia Siang Cafe,,,1,,0
Roselle Coffee House,,"Jalan Teluk Kumbar 35, Teluk Kumbar, Penang Island 11920 Malaysia",2,5,4
Saffron Cafe Penang,,"Jalan Dr Lim Chwee Leong 33-SB-01 Prangin Mall, George Town, Penang Island 10100 Malaysia",2,4,20
Hussain Pasembur King,"Seafood,Asian,Malaysian","No 29, Kompleks Makanan Medan Renong, Jalan Tun Syed Barakbah, Georgetown, Penang, George Town, Penang Island 10200 Malaysia",2,4.5,5
Yi Bing Qing Fish Head Steamboat,Chinese,"16 Jalan Nagore, George Town, Penang Island 10050 Malaysia",,4,6
MG-Moulmein Gourmet,Cafe,"44 Moulmein Road, George Town, Penang Island 10350 Malaysia",1,5,4
Poh Hock Lye Cafe,,,1,,0
Banh Mi Ut (Queensbay Mall 3F-09),Vietnamese,"Level 3F-09, Queensbay Mall, Bayan Lepas, Penang Island 11900 Malaysia",1,5,5
Rasa Rasa Food & Beverage,"Malaysian,Asian","59, Gat Lebuh Chulia, George Town, Penang Island 10300 Malaysia",,5,7
Sri Tanjung Cafe,"Asian,Malaysian","No 1 & 2 Pengkalan Weld Royale Bintang Penang, George Town, Penang Island 10300 Malaysia",2,3.5,19
My Western influence,"Belgian,Moroccan,Mediterranean","Jalan Argyll 161 A, George Town, Penang Island 10050 Malaysia",1,5,5
The Lengkuas Cafe,"Chinese,Indian,Cafe","161-A Argyll Road, George Town, Penang Island 10050 Malaysia",2,4.5,7
A.Maze,"Asian,Fusion,European","2-G-5, Bangunan Lip Sin, Lebuh Pekaka 1, Penang Island 11700 Malaysia",,5,3
Rising Ramen Tori,Japanese,"9-1-01 Moulmein Rise Shoppes, Pulau Tikus, Penang Island 10350 Malaysia",1,4,6
Zheng Xian Ge Restaurant,"Chinese,Seafood,Asian","A-3-1 & A-3-2, Vantage Desiran Tanjung Jalan Desiran Tanjung,, Tanjung Tokong, Penang Island 10470 Malaysia",3,4.5,4
Hanakoya Flower Cafe Penang,"Italian,Chinese,Southwestern","Lebuh Muntri No 83, George Town, Penang Island 10200 Malaysia",1,4.5,6
Sun Yoon Kee Restaurant,"Chinese,Asian,Cantonese","35 Cintra Street, George Town, Penang Island 10100 Malaysia",2,4,17
Javana Lounge,"Asian,Dining bars","PARKROYAL Penang Resort, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,3
Cube Coffee Tan Jetty,"International,European,Asian","Pengkalan Weld, George Town, Penang Island 10300 Malaysia",2,5,4
Sin Hup Aun Cafe,,,2,,0
Tori Deli,"Southwestern,Cafe,Asian","12, Lebuh Pantai, George Town, Penang Island 10300 Malaysia",2,5,3
Imperial Court Restaurant,"Chinese,Cantonese,Taiwanese","1 Jalan Penang Level 6, The Top, Komtar, George Town, Penang Island 10000 Malaysia",2,3.5,20
Revolving Restaurant,,"Lebuh Farquhar Chinatown, George Town, Penang Island Malaysia",2,3.5,55
Tuai Pui Curry Mee,"Asian,Malaysian,Chinese","23 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",,3.5,13
Urban Green Cabin,"Italian,Cafe,Mediterranean","156, Lebuh Victoria, George Town, Penang Island 10300 Malaysia",1,4,5
Chinese Dumpling,"Chilean,South American,Chinese","80-h, Jalan Mount Erskine, Kampung Raya Baharu, Tanjung Tokong, Penang Island 10470 Malaysia",,5,3
Face To Face Noodles House Bayan Lepas,"Chinese,Asian,Malaysian","The One 5 Tingkat Mahsuri, Bayan Lepas, Penang Island 11950 Malaysia",1,4,12
Yum Cha Tea Parlour Georgetown,"Steakhouse,Asian,Taiwanese,Chinese","84, Lebuh Gereja, George Town, Penang Island 10200 Malaysia",,5,4
Sukhothai Beef Noodles House,"Thai,Asian","Gurney Paragon Mall Gurney Drive,, Penang Island 10250 Malaysia",,4.5,6
Bread History,,"7F, Ground Floor, Jalan Gottlieb, Pulau Pinang, Penang Island 10350 Malaysia",1,4.5,4
Durian Cap Kaki,Healthy,"Jalan Paya Terubong/220 Relau Bayan Lepas, Penang Island 11900 Malaysia",2,5,4
Lameizi Restaurant Sdn. Bhd,Chinese,"Lameizi Restaurant Sdn. Bhd Lameizi Restaurant Sdn. Bhd 5 Jalan Nagore, Penang Island 10050 Malaysia",2,4,9
Burger Ayam Goreng NJoy,"Fast food,Asian,Street Food","6, Lorong Kekabu 2, Taman Desa Wangsa Permatang Damar Laut, Bayan Lepas, Penang Island 11960 Malaysia",1,5,4
Lazeez Restaurant,"Middle Eastern,Indian","6 Jalan Batu Ferringhi Opposite Al Rehman Mosque, George Town, Penang Island 11100 Malaysia",,4.5,7
Chillz Cafe Ambience Yoga,"Chinese,Asian,Fusion","A-3-10, Vantage Desiran Tanjung, Penang Island 10470 Malaysia",2,5,3
Kuta Bali Cafe,International,"19, Lintang Paya Terubong 1 Bandar Baru Air Itam, Penang Island 11060 Malaysia",1,4,8
Kazumasa Japanese Cuisine Sdn. Bhd.,"Sushi,Dining bars,Japanese Fusion","Fettes 10, 50C-1 Jalan Fettes, 11200 Tanjung Bungah, Pulau Pinang, Penang Island 11200 Malaysia",3,5,7
The Brgr,American,"85, Jalan Nagor, George Town, Penang Island 10050 Malaysia",2,5,5
Pakeeza Safa Marwah,"Barbecue,Asian,Arabic","Jalan Batu Feringghi, Batu Ferringhi, Penang Island 11100 Malaysia",1,3.5,18
Hussain mee goreng,Asian,"Jalan Jelutong, George Town, Penang Island Malaysia",,4.5,4
Bibi's Fashion & Cafe,Cafe,"87-D Jalan Kelawai, George Town, Penang Island 10250 Malaysia",2,3.5,19
Norm Micro Roastery,"Asian,Fusion,Malaysian","13, Gat Lebuh Gereja, George Town, Penang Island 10300 Malaysia",2,4.5,17
Shallots,"Chinese,Thai","B-G-10 Jalan Desiran Tanjung Vantage, Tanjung Tokong, Penang Island 10470 Malaysia",3,4,5
Dave's Deli,,"Persiaran Bavan Indah Lot L8051 queensbay mall, Banyan Lepas, Penang Island 11900 Malaysia",2,4,15
De' Secret Kitchen,Asian,"163, Macalister Road, George Town, Penang Island 10450 Malaysia",,5,3
Punjabi Chapati House,"Indian,Asian","12, Lorong Mahsuri 10, Bayan Baru,, Penang Island 11950 Malaysia",1,5,3
Chee Meng Cafe,Chinese,"100 Argyll Road, Penang Island 10050 Malaysia",1,5,3
BumbleDees Cafe USM,,"Jalan Pemimpin Universiti Sains Malaysia, Penang Island 11800 Malaysia",2,4,10
What The Duck Restaurant,"French,Asian,Fusion","No.108 Jalan Tun Dr Awang Lot No : L1-15 & 16, Level 1, Setia Spice Canopy, Bayan Lepas, Penang Island 11900 Malaysia",2,4,8
Rustic Restaurant,Fusion,"Vantage Point B -G-1 Jalan Tanjung Tokong, George Town, Penang Island 10470 Malaysia",2,4,18
Yeh Lin Seafood Steamboat,Seafood,"Jalan Air Putih, George Town, Penang Island 11000 Malaysia",,5,4
Tan Jetty Thai Food Restaurant,"Asian,Thai,Vegetarian Friendly","Tan Jetty Thai Food Restaurant 97a Weld Quay Tan Jetty, Penang Island 10300 Malaysia",2,3.5,19
Ca Cart Cafe,"Chinese,Cafe,Asian","143 Lebuh Pantai, Penang Island 10300 Malaysia",1,4,8
Miga Korean BBQ,"Korean,Asian","12G Persiaran Bayan Indah, Bayan Lepas, Penang Island 11900 Malaysia",,4.5,5
Little Boutique Cafe,"Italian,Cafe","139, Jalan Masjid Kapitan Keling, George Town, Penang Island 10300 Malaysia",1,5,3
Beach Comber,,,1,,0
Li Er Nyonya Cafe,"Asian,Malaysian","349, Jalan Burma, George Town, Penang Island 10350 Malaysia",2,4.5,4
Wells Cafe,"Asian,Malaysian","No.79, Jalan Nagor, George Town, Penang Island 10050 Malaysia",2,4.5,4
Uncle Tetsu Plaza Gurney,Cafe,"Gurney Dr, George Town, Penang Island 10350 Malaysia",2,4,12
Sushi-B'rito,"Japanese,Cafe,Fusion","No.108B-01-12 Jalan Tun Dr Awang, Bayan Lepas, Penang Island 11900 Malaysia",2,4,8
Rabbit X HoldUp,"Japanese,Australian","73, Jalan Kuala Kangsar, Penang Island 10200 Malaysia",2,4.5,4
Chuan Yee Charcoal Steamboat,"Asian,Malaysian,Seafood","5 Jalan Kek Chuan, George Town, Penang Island 10400 Malaysia",,4.5,4
Kopitan Classic Penang Delight,"Asian,Malaysian","Lebuh Pantai Logan Heritage 4A/B, George Town, Penang Island 10200 Malaysia",2,3.5,38
Paper Lobster,Seafood,"66G, Olive Tree Commercial Lots Persiaran Mahsuri 2, Bayan Lepas, Penang, Penang Island 11950 Malaysia",2,4,13
Jio Ba,"Malaysian,Asian","65 Jalan Gurdwara, George Town, Penang Island 10300 Malaysia",,4.5,5
Zheng He,"Chinese,Asian,Nonya/Malaysian","203 Hutton Lane, George Town, Penang Island Malaysia",2,4,13
Sin Lean Heang Restaurant,"Asian,Chinese","360-G-7, Gat Lebuh Macallum, George Town, Penang Island 10300 Malaysia",,3.5,9
Hong Kong 8am,"Chinese,Fast food,Asian","93 Lorong Macalister Georgetown, Penang Island 10400 Malaysia",1,4,6
Hong Kee Bamboo Noodle,Chinese,"37, Lebuh Campbell, George Town, Penang Island 10200 Malaysia",1,4,6
Little Cottage Cafe,Italian,"96-A Jalan Burmah, George Town, Penang Island 10050 Malaysia",,4,12
CMR Restaurant,Chinese,"70-1-12 D'Piazza Mall, Jalan Mahsuri 70-01-12a & 14 D'Piazza Mall, Bayan Baru, Bayan Lepas, Penang Island 11950 Malaysia",,3.5,11
Xiang Yun Vegetarian House,,"17-G-31, Medan Kampung Relau MK 12, Bayan Point, Bayan Lepas, Penang, Bayan Lepas, Penang Island 11900 Malaysia",2,4.5,5
Te Amor Bakery & Confectionery,,,2,,0
Amma Aroma Villas Cuisine,"Asian,Malaysian,Indian","65, Ground Floor, Pusat Komersial Persiaran Mutiara 7, Bandar Tasek Mutiara, Simpang Ampat, Penang Island 14120 Malaysia",,5,3
Purple Stone Vegetarian Food Centre,,"608-B Jalan Paya Terubong, Air Itam, Penang Island 11500 Malaysia",1,4,6
Hoshino Coffee,"Japanese,Cafe","Gurney Dr. Gurney Plaza, Georgetown, Penang Island 10250 Malaysia",2,3.5,25
Umi,"Asian,Malaysian","Block 2B, Level 5, Unit R10 & R11, Jalan Penang, The TOP Komtar Penang, Malaysia, George Town, Penang Island 10000 Malaysia",1,4,4
Back Home,,"Back Home Back Home 7 Back Home 2Q Lorong Delima, Penang Island 11700 Malaysia",2,4.5,6
LK Western Cafe,,,2,,0
CIAO Cafe.bar,,,2,,0
BMS Organics,,"No.9, Jalan Moulmein, Moulmein Rise, Pulau Tikus, Penang Island 10350 Malaysia",2,4,7
Pleasure Room Cafe,"Malaysian,Asian","11, Lebuh Carnarvon,, George Town, Penang Island Malaysia",,5,3
Hana Thai Kitchen,Asian,,,,0
Cafe Ko Cha Bi,Asian,"110, Jalan Besar, Balik Pulau, Penang Island 11000 Malaysia",1,4,7
Bei tou squid snack,,,1,,0
Mama's Food,"Malaysian,Asian","No.55,Anson Road, George Town, Penang Island 10400 Malaysia",,5,2
Winter Warmers Coffee and Tea House,"American,Cafe,European","Lot No. 3A-G-17, Straits Quay Jalan Seri Tanjung Pinang, Tanjung Tokong, Penang Island 10470 Malaysia",2,4,5
Gan En Wu Tang Shui,,,2,,0
Savour Bakery,"Halal,Healthy","170-B1-20&21, Plaza Gurney, Penang Island 10250 Malaysia",,4.5,4
Journey2Life,,"C-3-1 Lorong Bayan Indah 3, Bayan Lepas, Penang Island 11900 Malaysia",2,4.5,6
Genting Farlim,Chinese,"26-A, Lintang Angsana, Bandar Baru Air Itam, Penang Island 11500 Malaysia",2,5,4
Coffee Downstairs Penang,Cafe,"84, Lebuh China, George Town, Penang Island 10200 Malaysia",2,5,3
D'seafood Paradise,"Seafood,Asian,Malaysian","Jalan Teluk Tempoyak, Penang Island 11960 Malaysia",2,4,12
Bao Teck Tea House,Chinese,"25, Lebuh Melayu, George Town, Penang Island 10100 Malaysia",,4.5,8
Double Dragon,Chinese,"27B Gottlieb Road, George Town, Penang Island Malaysia",2,4.5,8
Danish Briyani House Batu Ferringi,"Indian,Fast food,Barbecue","Batu Feringghi G 1 Eden Prade, Penang Island 11100 Malaysia",2,3.5,27
Kiyomi Japanese Restaurant,Japanese,"Elite Avenue 1-01-09 Jalan Mayang Pasir 3, Bayan Lepas, Penang Island 11950 Malaysia",2,4,7
Kwong Sang House,Chinese,"36 Leith Street, Penang Island 10220 Malaysia",,4,14
Chulia ????? Restaurant & Bar,Fusion,"352 Lebuh Chulia, George Town, Penang Island 10200 Malaysia",2,4.5,3
Chef Nyonya Restaurant,"Asian,Malaysian","Jalan Tanjung Tokong A-G-8 The Vantage, Penang Island 11200 Malaysia",2,4,6
Talk Talk Wine Bar & Lounge,"Bar,International,Thai","3 2-G-4 & 2-G-5 Bangunan Lip Sin Lorong Lebuh Pekaka Satu, George Town, Penang Island 11700 Malaysia",2,3.5,11
Double Good,"Chinese,Asian","Bukit Jambul, George Town, Penang Island Malaysia",2,3.5,23
Ben's Diner,Diner,"43g Persiaran Mahsuri 1/1, Bayan Lepas, Penang Island 11900 Malaysia",,4.5,4
Bread King,,"79-G-59 Jalan Dato Keramat M Mall, Penang Times Square, George Town, Penang Island 10000 Malaysia",2,4,7
Lam Huat Chicken Rice,,,2,,0
Go Noodle House Penang,"Chinese,Asian","170 Persiaran Gurney 07-02/03 Gurney Plaza, George Town, Penang Island 10250 Malaysia",2,3.5,20
Viking Steakhouse,"Southwestern,Soups","546-D Jalan Tanjung Bungah Tanjong Tokong, Tanjung Bungah, Penang Island 11200 Malaysia",2,4,4
Lorong Selamat Fried Oyster & Char Hor Fun,"Chinese,Asian,Malaysian","George Town, Penang Island Malaysia",1,3,57
Raja's 25 Restaurant,,"25 Lorong Bangkok, George Town, Penang Island 10250 Malaysia",2,4,6
Tong Lek 8,"Malaysian,Asian","156 Jalan Macalister, George Town, Penang Island 10400 Malaysia",,4,7
Bake 'n' Take,Asian,,,,0
Terrace Cafe,"Indian,International","72 Jalan Batu Ferringhi Holiday Inn Resort ,, Batu Ferringhi, Penang Island 11100 Malaysia",2,3.5,16
Subway,Fast food,"47 & 49 Lebuh Leith, George Town, Penang Island 10200 Malaysia",2,3,29
Daseo Malaysia,,,2,,0
Spasso Milano,"Italian,Pizza","Spasso Milano Jalan Seri Tanjung Pinang Lot 3C-G2, Block C, Ground floor, Straits Quay, Penang Island 10470 Malaysia",2,3.5,13
"Lot33, Prangin Mall Sub-Basement",,"Lot33, Prangin Mall Sub-Basement Jalan Dr. Lim Chwee Leong, Penang Island 11500 Malaysia",2,4,8
Hong Kong Kim Gary Restaurant,Chinese,"3068, Jalan Todak Pusat Bandar UG - 16 Sunway Carnival Mall, Penang Island 13700 Malaysia",,4,6
Izakaya by Sango,"Japanese,Contemporary","161 Lebuh Noordin, George Town, Penang Island 10300 Malaysia",2,4.5,3
Sushi King - Gurney Plaza,"Japanese,Sushi,Asian","Lot 170-02-58 Bulatan Gurney Persiaran Gurney, George Town, Penang Island 10250 Malaysia",2,3.5,31
Penang Best MK Coconut Shake,Cafe,"8, Lebuh Keng Kwee, George Town, Penang Island 10100 Malaysia",,4.5,3
Tong Sui Po,"Asian,Chinese","64 Seang Teik Road, George Town, Penang Island Malaysia",,5,5
Vino Vino Bistro,Japanese,"Block H-10-1, Lorong Bayan Indah 2 Bay Avenue, Bayan Lepas, George Town, Penang Island Malaysia",2,3.5,12
Khunthai Village Restaurant,"Thai,Malaysian,Asian","9 Mukim Pasig Balanda, Penang Island 11820 Malaysia",,4.5,3
Soba Yoshi Japanese Noodle Restaurant,"Asian,Japanese","303-01-16 Jalan Sultan Azlan Shah, Bayan Lepas, Penang Island 11900 Malaysia",,4,6
Johnny Rockets,American,"Johnny Rockets Johnny Rockets 21 & 22 Persiaran Gurney 163d-1-20a, Penang Island 10250 Malaysia",2,3.5,20
Plan B,,"100 Persiaran Bayan Indah Queensbay Mall, Ground Floor, Bayan Lepas, Penang Island 11900 Malaysia",2,3.5,25
MGI Classic Kitchen,"Cafe,European,Asian","No 3 & 5 Lebuh Carnavon, George Town, Penang Island Malaysia",1,4.5,6
Xii Chan,"Italian,American,Southwestern","22, Kampung Malabar, George Town, Penang Island 10200 Malaysia",1,5,5
Kirin Sushi,,,1,,0
Karaikudi Restaurant,Indian,"1, Jalan Sungai Kelian Tanjung Tokong, Tanjung Bungah, Penang Island 11200 Malaysia",2,3.5,7
Shahnur Restaurant,"Middle Eastern,Pakistani,Indian","58 Jalan Batu Ferringhi, 11100, Penang, Batu Ferringhi, Penang Island 11100 Malaysia",,4,5
Grand Vege Creative Restaurant,"Fusion,Diner,Japanese Fusion,Chinese","11-c Lorong Abu Siti,, George Town, Penang Island 10400 Malaysia",,4.5,3
The Busy Monet (Restaurant & Lounge),"Bar,Cafe,Asian","363-2, Vantage Point, Jalan Perak Jelutong, Penang Island 11600 Malaysia",1,5,2
Roti bakar penang,Indian,"Penang Times Square, Penang Island Malaysia",,3.5,7
The Skewery,"Chinese,Fast food","176, Jalan Hutton, George Town, Penang Island 10050 Malaysia",1,5,2
Hideout,"Asian,Fusion,Malaysian","170 Persiaran Gurney Opposite Daiso, Penang Island 10250 Malaysia",2,5,2
Kim Poh Roasted Chicken & Duck Rice,"Asian,Malaysian,Chinese","52A-1, Jalan Pisang Berangan,, Air Itam, Penang Island 11500 Malaysia",,4.5,3
Tasty Kitchen,Chinese,"598- GF-02 Jalan Tanjung Bungah, Tanjung Bungah, Penang Island Malaysia",,5,2
We Love Fine Wine Centre,Wine Bar,"106 Jalan Hutton, George Town, Penang Island 10500 Malaysia",2,5,3
Dome Gurney Plaza,Malaysian,"Lot G-24 Block 170 Persiaran Gurney Plaza Gurney, George Town, Penang Island 10250 Malaysia",2,3.5,52
Siam Express,Thai,"Queen Bay Mall Basement, Bayan Lepas, Penang Island 11900 Malaysia",2,4,10
Han Sik Ga,,,2,,0
Joo Leong Cafe,,"12, Jalan Sungai Tiram, Kampung Sungai Tiram, Bayan Lepas, Penang Island 11900 Malaysia",1,3.5,6
James Foo,Southwestern,"01-01-11, Elite Avenue, Bayan Lepas, Penang Island 11950 Malaysia",2,3.5,24
Blue Reef Fish & Chips,"Seafood,British","Elit Avenue Blok1-01-38, Elit Avenue, Jalan Mayang Pasir 3, Bayan Baru, Bayan Lepas, Penang Island 11950 Malaysia",2,4,9
Nenda's Kitchen,"Cafe,International,European","8, Jalan Kampung Jawa, Bayan Lepas, Penang Island 11900 Malaysia",1,5,2
Malabar,"Nonya/Malaysian,Chinese","Lorong Kampung Malabar, George Town, Penang Island Malaysia",,3.5,8
Sam Thalia,"Fast food,Thai,Fusion,Italian","Lebuh King 18 Under Space Disted Student Residence, George Town, Penang Island 10200 Malaysia",,4.5,3
Bom Baa Kopitiam Cafe,"Asian,Malaysian","No, 10, Seh Tan Jetty Pengkalan Weld Quay, Penang Island 10300 Malaysia",1,5,2
Cintra Food Corner,,"40 Lebuh Cintra, George Town, Penang Island 10100 Malaysia",1,4,7
Zhonghua Gourmet,"Chinese,Seafood","66 Jalan Penang Ground Floor, Cititel Hotel Penang, Penang Island 10000 Malaysia",2,3.5,11
Kopi & Toast,"Asian,Malaysian","63 Gat Lebuh Chulia, George Town, Penang Island 10200 Malaysia",1,4,6
Sri Subham Restauranr,,"47, Penang Street, George Town, Penang Island Malaysia",1,3.5,11
No. 1 Cannon Street Galeri & Kafe,,"1 Lebuh Cannon, George Town, Penang Island 10200 Malaysia",1,4,7
Gold Coast Chulia St. Restaurant,"Chinese,Seafood","427 & 429 Chulia Street, George Town, Penang Island 10200 Malaysia",1,5,2
